,Bikename,Milege,Power in(PS),MinPrice,MaxPrice,Bikelinks,,
44,Honda CBR650R,NaN,87.01 PS,Rs.8.89 Lakh*,Rs.NaN,https://www.bikedekho.com/honda/cbr650r,,
45,Honda Grazia,NaN,8.25 PS,"Rs.82,248 ","Rs. 89,573*",https://www.bikedekho.com/honda/grazia,,
46,Honda CB350RS,NaN,21.07 PS,Rs.2.05 Lakh,Rs. 2.06 Lakh*,https://www.bikedekho.com/honda/cb350rs,,
47,Honda CB300R,NaN,31.13 PS,Rs.2.77 Lakh*,Rs.NaN,https://www.bikedekho.com/honda/cb300r,,
48,Honda CB200X,NaN,17.2 PS,Rs.1.49 Lakh*,Rs.NaN,https://www.bikedekho.com/honda/cb200x,,
49,Honda Gold Wing,NaN,126.4 PS,Rs.39.16 Lakh*,Rs.NaN,https://www.bikedekho.com/honda/gold-wing,,
50,Honda CB650R,20.4 kmpl,87.01 PS,Rs.8.67 Lakh*,Rs.NaN,https://www.bikedekho.com/honda/cb650r,,
51,Honda CRF1100L Africa Twin,NaN,99.2 PS,Rs.15.97 Lakh,Rs. 17.51 Lakh*,https://www.bikedekho.com/honda/crf-1100l,,
52,Honda CB500X,NaN,47.58 PS,Rs.5.80 Lakh*,Rs.NaN,https://www.bikedekho.com/honda/cb500x,,
53,Honda CBR1000RR-R,NaN,217.5 PS,Rs.23.11 Lakh,Rs. 23.63 Lakh*,https://www.bikedekho.com/honda/cbr1000rr-r,,
54,Bajaj Pulsar NS200,40.84 kmpl,24.5 PS,Rs.1.41 Lakh*,Rs.NaN,https://www.bikedekho.com/bajaj/bajaj-pulsar-200-ns,,
55,Bajaj Pulsar 150,NaN,14 PS,Rs.1.04 Lakh,Rs. 1.14 Lakh*,https://www.bikedekho.com/bajaj/pulsar-150,,
56,Bajaj Pulsar 125,51.46 kmpl,11.8 PS,"Rs.89,254 ","Rs. 91,642*",https://www.bikedekho.com/bajaj/pulsar-125,,
57,Bajaj Pulsar RS200,59.11 kmpl,16 PS,Rs.1.23 Lakh,Rs. 1.30 Lakh*,https://www.bikedekho.com/bajaj/pulsar-rs-200,,
58,Bajaj Pulsar N160,NaN,24.5 PS,Rs.1.71 Lakh*,Rs.NaN,https://www.bikedekho.com/bajaj/pulsar-n160,,
59,Bajaj Pulsar NS 125,64.75 kmpl,11.99 PS,Rs.1.04 Lakh*,Rs.NaN,https://www.bikedekho.com/bajaj/pulsar-ns-125,,
60,Bajaj Pulsar NS160,40.6 kmpl,17.2 PS,Rs.1.25 Lakh*,Rs.NaN,https://www.bikedekho.com/bajaj/pulsar-150-ns,,
61,Bajaj Dominar 400,NaN,40 PS,Rs.2.24 Lakh*,Rs.NaN,https://www.bikedekho.com/bajaj/dominar-400,,
62,Bajaj Platina 110,NaN,8.6 PS,"Rs.67,341 ","Rs. 72,224*",https://www.bikedekho.com/bajaj/platina,,
63,Bajaj Chetak,NaN,NaN,Rs.1.52 Lakh*,Rs.NaN,https://www.bikedekho.com/bajaj/chetak,,
64,Bajaj Pulsar P150,NaN,14.5 PS,Rs.1.17 Lakh,Rs. 1.20 Lakh*,https://www.bikedekho.com/bajaj/pulsar-p150,,
65,Bajaj Platina 100,NaN,7.9 PS,"Rs.64,653*",Rs.NaN,https://www.bikedekho.com/bajaj/platina-100,,
66,Bajaj CT 110X,NaN,8.6 PS,"Rs.59,104 ","Rs. 67,322*",https://www.bikedekho.com/bajaj/ct110,,
67,Bajaj Pulsar N250,NaN,24.5 PS,Rs.1.41 Lakh,Rs. 1.50 Lakh*,https://www.bikedekho.com/bajaj/pulsar-n250,,
68,Bajaj Dominar 250,35.03 kmpl,27 PS,Rs.1.75 Lakh*,Rs.NaN,https://www.bikedekho.com/bajaj/dominar-250,,
69,Bajaj Pulsar F250,NaN,24.5 PS,Rs.1.41 Lakh,Rs. 1.50 Lakh*,https://www.bikedekho.com/bajaj/pulsar-250,,
70,Bajaj CT 125X,59.6 kmpl,10.9 PS,"Rs.71,354 ","Rs. 74,554*",https://www.bikedekho.com/bajaj/ct-125x,,
71,Bajaj Avenger Cruise 220,NaN,19.03 PS,Rs.1.38 Lakh*,Rs.NaN,https://www.bikedekho.com/bajaj/avenger-cruise-220,,
72,Bajaj Avenger Street 160,47.2 kmpl,15 PS,Rs.1.12 Lakh*,Rs.NaN,https://www.bikedekho.com/bajaj/avenger-160,,
73,Classic 350,41.55 kmpl,20.21 PS,Rs.1.90 Lakh,Rs. 2.21 Lakh*,https://www.bikedekho.com/royal-enfield/classic-350,,
74,Hunter 350,36.2 kmpl,20.4 PS,Rs.1.50 Lakh,Rs. 1.72 Lakh*,https://www.bikedekho.com/royal-enfield/hunter,,
75,Bullet 350,NaN,19.36 PS,Rs.1.55 Lakh,Rs. 1.63 Lakh*,https://www.bikedekho.com/royal-enfield/bullet-350,,
76,Continental GT 650,NaN,NaN,Rs.3.06 Lakh,Rs. 3.32 Lakh*,https://www.bikedekho.com/royal-enfield/continental-gt-650,,
77,Himalayan,32.04 kmpl,24.31 PS,Rs.2.16 Lakh,Rs. 2.24 Lakh*,https://www.bikedekho.com/royal-enfield/himalayan,,
78,Meteor 350,41.88 kmpl,20.4 PS,Rs.2.01 Lakh,Rs. 2.19 Lakh*,https://www.bikedekho.com/royal-enfield/meteor,,
79,Interceptor 650,31.95 kmpl,47.65 PS,Rs.2.89 Lakh,Rs. 3.32 Lakh*,https://www.bikedekho.com/royal-enfield/interceptor-650,,
80,Scram 411,38.23 kmpl,24.31 PS,Rs.2.03 Lakh,Rs. 2.09 Lakh*,https://www.bikedekho.com/royal-enfield/scram,,
